hour,updated_type,updated_subtype,longitude,latitude,alert_count
02:00,Road Closed,Unclassified,-87.65,41.88,33
02:00,Road Closed,Unclassified,-87.66,41.94,18
02:00,Road Closed,Unclassified,-87.63,41.87,13
02:00,Road Closed,Unclassified,-87.63,41.88,12
02:00,Road Closed,Unclassified,-87.65,41.71,11
02:00,Road Closed,Unclassified,-87.66,41.9,10
02:00,Road Closed,Unclassified,-87.62,41.87,10
02:00,Road Closed,Unclassified,-87.68,41.87,9
02:00,Road Closed,Unclassified,-87.68,41.88,8
02:00,Road Closed,Unclassified,-87.66,41.98,7
03:00,Accident,Major,-87.66,41.89,19
03:00,Accident,Major,-87.65,41.85,14
03:00,Accident,Major,-87.65,41.88,12
03:00,Accident,Major,-87.65,41.87,10
03:00,Accident,Major,-87.64,41.84,10
03:00,Accident,Major,-87.65,41.86,9
03:00,Accident,Major,-87.67,41.91,8
03:00,Accident,Major,-87.64,41.8,8
03:00,Accident,Major,-87.64,41.83,8
03:00,Accident,Major,-87.63,41.76,7
03:00,Accident,Minor,-87.62,41.89,3
03:00,Accident,Minor,-87.84,41.95,2
03:00,Accident,Minor,-87.77,41.87,2
03:00,Accident,Minor,-87.75,41.77,2
03:00,Accident,Minor,-87.75,41.78,2
03:00,Accident,Minor,-87.74,41.87,2
03:00,Accident,Minor,-87.65,41.88,2
03:00,Accident,Minor,-87.78,41.87,1
03:00,Accident,Minor,-87.76,41.89,1
03:00,Accident,Minor,-87.76,41.98,1
03:00,Accident,Unclassified,-87.66,41.89,31
03:00,Accident,Unclassified,-87.67,41.9,19
03:00,Accident,Unclassified,-87.65,41.86,18
03:00,Accident,Unclassified,-87.65,41.87,18
03:00,Accident,Unclassified,-87.62,41.89,17
03:00,Accident,Unclassified,-87.65,41.85,14
03:00,Accident,Unclassified,-87.65,41.88,14
03:00,Accident,Unclassified,-87.67,41.87,12
03:00,Accident,Unclassified,-87.67,41.91,12
03:00,Accident,Unclassified,-87.77,41.87,10
03:00,Hazard,On Road,-87.67,41.87,84
03:00,Hazard,On Road,-87.65,41.87,80
03:00,Hazard,On Road,-87.66,41.89,60
03:00,Hazard,On Road,-87.64,41.8,49
03:00,Hazard,On Road,-87.65,41.88,48
03:00,Hazard,On Road,-87.67,41.91,43
03:00,Hazard,On Road,-87.64,41.83,40
03:00,Hazard,On Road,-87.69,41.92,39
03:00,Hazard,On Road,-87.65,41.85,39
03:00,Hazard,On Road,-87.76,41.96,35
03:00,Hazard,On Shoulder,-87.66,41.89,128
03:00,Hazard,On Shoulder,-87.65,41.87,123
03:00,Hazard,On Shoulder,-87.67,41.9,111
03:00,Hazard,On Shoulder,-87.64,41.83,99
03:00,Hazard,On Shoulder,-87.59,41.65,89
03:00,Hazard,On Shoulder,-87.65,41.86,84
03:00,Hazard,On Shoulder,-87.76,41.96,79
03:00,Hazard,On Shoulder,-87.6,41.66,71
03:00,Hazard,On Shoulder,-87.63,41.72,70
03:00,Hazard,On Shoulder,-87.64,41.78,68
03:00,Hazard,Unclassified,-87.82,41.98,9
03:00,Hazard,Unclassified,-87.83,41.98,6
03:00,Hazard,Unclassified,-87.83,41.99,6
03:00,Hazard,Unclassified,-87.82,41.99,6
03:00,Hazard,Unclassified,-87.81,41.98,6
03:00,Hazard,Unclassified,-87.61,41.68,5
03:00,Hazard,Unclassified,-87.81,41.92,4
03:00,Hazard,Unclassified,-87.81,41.97,4
03:00,Hazard,Unclassified,-87.74,41.87,4
03:00,Hazard,Unclassified,-87.64,41.78,4
03:00,Hazard,Weather,-87.59,41.65,9
03:00,Hazard,Weather,-87.65,41.85,7
03:00,Hazard,Weather,-87.72,41.82,6
03:00,Hazard,Weather,-87.67,41.9,6
03:00,Hazard,Weather,-87.65,41.87,5
03:00,Hazard,Weather,-87.75,41.81,4
03:00,Hazard,Weather,-87.71,41.93,4
